"id","province_id","name_en","name_si","name_ta","created_at","updated_at","deleted_at"
"1","6","Ampara","අම්පාර","அம்பாறை","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"2","8","Anuradhapura","අනුරාධපුරය","அனுராதபுரம்","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"3","7","Badulla","බදුල්ල","பதுளை","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"4","6","Batticaloa","මඩකලපුව","மட்டக்களப்பு","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"5","1","Colombo","කොළඹ","கொழும்பு","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"6","3","Galle","ගාල්ල","காலி","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"7","1","Gampaha","ගම්පහ","கம்பஹா","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"8","3","Hambantota","හම්බන්තොට","அம்பாந்தோட்டை","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"9","9","Jaffna","යාපනය","யாழ்ப்பாணம்","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"10","1","Kalutara","කළුතර","களுத்துறை","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"11","2","Kandy","මහනුවර","கண்டி","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"12","5","Kegalle","කෑගල්ල","கேகாலை","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"13","9","Kilinochchi","කිලිනොච්චිය","கிளிநொச்சி","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"14","4","Kurunegala","කුරුණෑගල","குருணாகல்","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"15","9","Mannar","මන්නාරම","மன்னார்","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"16","2","Matale","මාතලේ","மாத்தளை","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"17","3","Matara","මාතර","மாத்தறை","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"18","7","Monaragala","මොණරාගල","மொணராகலை","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"19","9","Mullaitivu","මුලතිව්","முல்லைத்தீவு","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"20","2","Nuwara Eliya","නුවර එළිය","நுவரேலியா","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"21","8","Polonnaruwa","පොළොන්නරුව","பொலன்னறுவை","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"22","4","Puttalam","පුත්තලම","புத்தளம்","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"23","5","Ratnapura","රත්නපුර","இரத்தினபுரி","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"24","6","Trincomalee","ත්‍රිකුණාමලය","திருகோணமலை","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
"25","9","Vavuniya","වව්නියාව","வவுனியா","2025-09-04 21:57:27","2025-09-04 21:57:27",NULL
